País,Coeficiente_Angular,Coeficiente_Linear,Equacao_Linear
Afeganistão,1.0178571428571426,-2048.1999999999994,y = 1.02x + -2048.20
África do Sul,22.028571428571432,-44345.53333333334,y = 22.03x + -44345.53
"Alemanha, República Democrática",-29985.082142857143,60636351.733333334,y = -29985.08x + 60636351.73
Angola,-9878.082142857143,19957430.46666667,y = -9878.08x + 19957430.47
Anguilla,0.0,0.0,y = 0.00x + 0.00
Antígua e Barbuda,215.72857142857146,-434103.9333333334,y = 215.73x + -434103.93
Antilhas Holandesas,-2028.135714285714,4101992.999999999,y = -2028.14x + 4101993.00
Arábia Saudita,6.6499999999999995,-13388.666666666666,y = 6.65x + -13388.67
Argentina,-463.5392857142857,955386.7999999999,y = -463.54x + 955386.80
Aruba,-54.67857142857142,110484.33333333331,y = -54.68x + 110484.33
Austrália,-3227.7464285714277,6536599.866666664,y = -3227.75x + 6536599.87
Áustria,4.671428571428572,-9010.066666666668,y = 4.67x + -9010.07
Bahamas,-602.7928571428571,1221862.3333333333,y = -602.79x + 1221862.33
Bangladesh,2.7999999999999994,-5635.133333333331,y = 2.80x + -5635.13
Barbados,66.26785714285712,-133360.79999999996,y = 66.27x + -133360.80
Barein,179.92499999999998,-362089.26666666666,y = 179.92x + -362089.27
Bélgica,-18599.042857142857,37614482.33333333,y = -18599.04x + 37614482.33
Belice,0.4071428571428571,-818.2666666666665,y = 0.41x + -818.27
Benin,0.1928571428571428,1303.9333333333334,y = 0.19x + 1303.93
Bermudas,4.225,-8506.333333333332,y = 4.22x + -8506.33
Bolívia,1199.7035714285716,-2382239.3333333335,y = 1199.70x + -2382239.33
Bósnia-Herzegovina,1.3857142857142855,-2787.1333333333328,y = 1.39x + -2787.13
Brasil,75.43214285714285,-151835.66666666666,y = 75.43x + -151835.67
Bulgária,6.828571428571428,-13650.933333333332,y = 6.83x + -13650.93
Cabo Verde,-1337.267857142857,2700131.2,y = -1337.27x + 2700131.20
Camarões,35.48928571428571,-70919.53333333331,y = 35.49x + -70919.53
Canadá,-9672.042857142855,19581851.799999993,y = -9672.04x + 19581851.80
Catar,339.7142857142858,-678532.6666666667,y = 339.71x + -678532.67
"Cayman, Ilhas",118.44642857142856,-238424.19999999998,y = 118.45x + -238424.20
Chile,116.59285714285708,-228794.5999999999,y = 116.59x + -228794.60
China,-38601.94999999998,78320089.9333333,y = -38601.95x + 78320089.93
Chipre,494.81071428571425,-995643.7333333333,y = 494.81x + -995643.73
Cingapura,-92.20357142857144,193365.40000000002,y = -92.20x + 193365.40
"Cocos (Keeling), Ilhas",1.8428571428571425,-3709.4666666666662,y = 1.84x + -3709.47
Colômbia,1959.1999999999998,-3940839.733333333,y = 1959.20x + -3940839.73
Comores,0.48571428571428577,-976.9333333333334,y = 0.49x + -976.93
Congo,1075.892857142857,-2166024.6666666665,y = 1075.89x + -2166024.67
"Coreia, Republica Sul",27.160714285714285,-54639.066666666666,y = 27.16x + -54639.07
Costa do Marfim,0.0,0.0,y = 0.00x + 0.00
Costa Rica,0.0,0.0,y = 0.00x + 0.00
Croácia,13.15714285714286,-26480.66666666667,y = 13.16x + -26480.67
Cuba,-907.1499999999991,1867191.4666666647,y = -907.15x + 1867191.47
Curaçao,8850.074999999999,-17803234.933333334,y = 8850.07x + -17803234.93
Dinamarca,-5769.146428571428,11660882.6,y = -5769.15x + 11660882.60
Dominica,98.99285714285715,-199249.46666666667,y = 98.99x + -199249.47
El Salvador,-3.8749999999999964,7822.333333333326,y = -3.87x + 7822.33
Emirados Arabes Unidos,1955.4749999999997,-3931864.3333333326,y = 1955.47x + -3931864.33
Equador,295.62500000000006,-594970.9333333335,y = 295.63x + -594970.93
"Eslovaca, Republica",0.0,0.0,y = 0.00x + 0.00
Espanha,-61625.84642857142,124624114.86666666,y = -61625.85x + 124624114.87
Estados Unidos,-20969.892857142855,43119193.99999999,y = -20969.89x + 43119194.00
Estônia,-2047.092857142857,4134076.333333333,y = -2047.09x + 4134076.33
Filipinas,521.8071428571429,-1048893.4000000001,y = 521.81x + -1048893.40
Finlândia,-6533.3785714285705,13212905.266666664,y = -6533.38x + 13212905.27
França,-3856.9142857142842,7843293.933333331,y = -3856.91x + 7843293.93
Gana,4245.567857142856,-8543414.2,y = 4245.57x + -8543414.20
Gibraltar,53.085714285714275,-106771.1333333333,y = 53.09x + -106771.13
Granada,289.79999999999995,-583335.2,y = 289.80x + -583335.20
Grécia,645.1249999999998,-1297889.0666666662,y = 645.12x + -1297889.07
Guatemala,1226.35,-2467705.133333333,y = 1226.35x + -2467705.13
Guiana,3361.5,-6766858.066666666,y = 3361.50x + -6766858.07
Guiana Francesa,3.035714285714285,-6109.199999999999,y = 3.04x + -6109.20
Guine Bissau,0.4928571428571427,-984.3999999999996,y = 0.49x + -984.40
Guine Equatorial,33.207142857142856,-60237.46666666666,y = 33.21x + -60237.47
Haiti,106238.575,-213806962.06666666,y = 106238.57x + -213806962.07
Honduras,-1.0999999999999999,2220.5333333333333,y = -1.10x + 2220.53
Hong Kong,1919.0714285714287,-3823886.933333333,y = 1919.07x + -3823886.93
Hungria,-87.52857142857142,176811.80000000002,y = -87.53x + 176811.80
Ilha de Man,180.03571428571428,-362442.4,y = 180.04x + -362442.40
Ilhas Virgens,0.0,0.0,y = 0.00x + 0.00
India,38.40357142857142,-77292.39999999998,y = 38.40x + -77292.40
Indonésia,1.1321428571428571,-2279.0666666666666,y = 1.13x + -2279.07
Irã,10.932142857142857,-21999.466666666667,y = 10.93x + -21999.47
Iraque,0.0,0.0,y = 0.00x + 0.00
Irlanda,-1475.7392857142854,2983237.9999999995,y = -1475.74x + 2983238.00
Itália,-1059.4642857142856,2149045.4666666663,y = -1059.46x + 2149045.47
Jamaica,0.0,0.0,y = 0.00x + 0.00
Japão,-20887.30357142857,42324104.26666666,y = -20887.30x + 42324104.27
Jordânia,0.914285714285714,-1838.933333333333,y = 0.91x + -1838.93
Letônia,15.078571428571431,-30123.33333333334,y = 15.08x + -30123.33
Líbano,0.0,0.0,y = 0.00x + 0.00
Libéria,4159.707142857143,-8372111.8,y = 4159.71x + -8372111.80
Luxemburgo,-3976.671428571429,8042846.733333334,y = -3976.67x + 8042846.73
Macau,0.325,-654.3333333333334,y = 0.33x + -654.33
Malásia,2.0357142857142856,-4090.266666666667,y = 2.04x + -4090.27
Malavi,247.79999999999995,-498903.99999999994,y = 247.80x + -498904.00
Malta,1841.6000000000004,-3706283.5333333337,y = 1841.60x + -3706283.53
"Marshall, Ilhas",2913.675,-5863498.066666667,y = 2913.68x + -5863498.07
Martinica,1.0,-2013.3333333333333,y = 1.00x + -2013.33
Mauritânia,1.6785714285714284,-3377.7333333333327,y = 1.68x + -3377.73
México,-232.34642857142853,471756.0666666666,y = -232.35x + 471756.07
Moçambique,49.49999999999998,-99637.99999999996,y = 49.50x + -99638.00
Montenegro,2.414285714285714,-4856.333333333333,y = 2.41x + -4856.33
Namíbia,0.0,0.0,y = 0.00x + 0.00
Nicarágua,-1.2000000000000004,2422.4000000000005,y = -1.20x + 2422.40
