Id,País,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,Africa do Sul,2424542,4566934,2643903,3763776,2460515,3756647,3739878,2265055,4380030,4701424,4696080,2328222,3367309,3004943,2255583
2,Alemanha,347951,977335,1131570,704410,528936,599120,453446,764719,399248,659946,513849,641160,653508,531195,660403
3,Argélia,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0
4,Arábia Saudita,0,0,0,0,0,0,0,43,0,3812,0,0,11271,0,169
5,Argentina,52424481,69091847,75480227,70247401,62257509,67253277,60508242,59312871,67232582,68038960,71076311,88933199,106397200,115500216,109195129
6,Armênia,0,0,0,0,0,0,0,0,0,0,0,0,0,16053,27878
7,Austrália,1269588,2270117,3635713,3090117,2257005,1245593,1656840,2036349,1601186,25182,1230935,1004646,1749968,2169338,2001379
8,Áustria,13968,32404,62584,93214,284053,34886,4251,9036,27284,2081861,476668,58888,155249,61377,162307
9,Bermudas,0,0,0,0,0,0,0,0,0,0,0,0,151,5,885
10,Bélgica,0,0,0,0,0,0,0,1097,49597,1364,37,0,0,0,0
11,Bolívia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12090
12,Bósnia-Herzegovina,0,0,0,0,0,0,0,0,0,0,0,2120,0,0,0
13,Brasil,0,239,1257,16067,6220,6460,14278,2310,1105752,139846,275303,45560,52418,6,83123
14,Bulgária,0,115724,3624,0,27935,61876,68922,73030,103518,33716,20859,81429,139808,73150,135513
15,Canada,0,0,37354,0,0,27488,0,0,0,17719,0,0,0,12491,1076
16,Chile,83857438,99418133,111595389,123574530,118569468,148854763,144371250,166584070,197416503,195836035,198168402,249266685,252185685,253216567,232505012
17,China,0,0,0,0,0,0,0,321,1613,477,2775,0,0,0,0
18,"Coreia do Sul, República",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Croácia,0,0,12838,17201,0,0,5848,0,0,0,3350,0,96297,36450,10267
20,Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269
21,Emirados Árabes Unidos,0,0,0,0,0,1173,10622,37664,0,0,0,0,0,0,0
22,Eslovênia,0,0,66202,1656,27499,27567,28830,61338,0,89497,132158,51163,215085,159235,153089
23,Eslováquia,0,0,0,0,0,0,0,5183,86252,28738,3619,0,0,0,0
24,Espanha,7343727,10320924,13175606,14265155,16342978,15558550,14421388,16170126,27074986,24948899,22909416,26971445,32589527,23674796,26688856
25,Estados Unidos,788218,1539695,2126707,2375258,3335974,4960504,4623886,3650135,5482988,3133436,2935700,2485818,3316054,3416431,2019989
26,França,19265562,21577684,26246449,24817615,26601653,31073157,22970421,19771907,31201983,27341894,29623907,30552533,37669498,30867135,35320903
27,Geórgia,0,0,0,0,167952,0,0,0,0,28580,62909,63222,52089,39489,46257
28,"Geórgia do Sul e Sandwich do Sul, Ilhas",0,0,0,0,0,0,0,0,0,0,0,0,4753,4585,0
29,Grécia,242550,238810,496536,392172,84416,131439,245865,25205,180261,176786,92132,280473,68847,193955,193613
30,Hong Kong,0,0,0,0,0,0,0,0,0,0,0,3087,0,0,0
31,Hungria,100258,176154,271313,179266,151109,133343,79805,67071,192166,137147,181091,30504,180990,189428,358386
32,Indonésia,0,0,0,0,0,0,0,43,0,246,1722,0,0,0,0
33,Irlanda,0,0,0,0,0,0,0,43,0,1061,1884,0,0,0,0
34,Israel,45458,109034,85058,56018,122267,48106,74276,56825,157765,222371,234839,262588,359013,102078,308177
35,Itália,31467332,40594432,47507608,41257041,39108123,40264492,34107578,30153220,45246101,45012158,43679236,42137889,51083787,42952584,43628729
36,Japão,0,0,0,0,0,0,0,0,0,0,1582,0,0,0,3513
37,Iugoslávia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Líbano,40281,139024,155639,53631,82398,317755,62676,82039,106217,169786,189194,58292,103066,212697,120938
39,Luxemburgo,0,0,0,0,0,0,0,43,0,47,0,0,0,0,0
40,Macedônia,0,0,0,0,0,749,0,0,0,0,2197,0,0,0,25694
41,Marrocos,0,0,0,4301,0,0,16837,0,0,0,19066,10486,7944,60429,2952
42,México,0,70667,0,0,0,0,0,0,0,938,4573,214,23,0,0
43,Moldávia,0,0,0,0,0,0,0,0,0,0,0,14797,92478,108618,0
44,Montenegro,0,0,0,0,0,0,0,0,0,0,7141,0,0,0,189930
45,Noruega,0,0,0,0,0,0,0,649,32,0,0,0,0,0,0
46,Nova Zelândia,333050,1049726,1419057,871966,931249,949784,1068091,411207,279791,817047,910009,105135,159542,455862,282803
