id,control,cultivar,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,TINTAS,TINTAS,39148123,23633831,44473588,39303313,36855419,29810706,29935627,13370866,32850915,26868514,0.0,28003505,93296587,0.0,35881118.23
2,ti_Alicante Bouschet,Alicante Bouschet,1652912,849263,2130579,2098824,1524728,1456305,1519576,908841,2040198,2103844,0.0,2272985,811140,0.0,4108858.21
3,ti_Ancelota,Ancelota,1370728,853718,1346552,1274677,1137943,937844,773526,179028,733907,492106,0.0,481402,6513974,0.0,783688.39
4,ti_Aramon,Aramon,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
5,ti_Alfrocheiro,Alfrocheiro,31168,0,4320,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
6,ti_Arinarnoa,Arinarnoa,39607,35790,49376,81026,65001,56666,61817,17691,69757,44775,0.0,90860,2785609,0.0,147979.4
7,ti_Aspirant Bouschet,Aspirant Bouschet,0,0,2258,7448,3650,7091,8859,12901,18086,12830,0.0,34513,15691137,0.0,138338.0
8,ti_Barbera,Barbera,70932,26044,76397,47549,40630,19514,19980,14738,24218,21863,0.0,12349,437640,0.0,35292.0
9,ti_Bonarda,Bonarda,2320,0,250,1114,0,0,0,0,0,0,0.0,0,3110,0.0,7800.0
10,ti_Cabernet Franc,Cabernet Franc,3365865,2125997,2741150,2594675,2452229,1894496,1981004,820996,2116893,1524191,0.0,1506219,16626545,0.0,2152213.13
11,ti_Cabernet Sauvignon,Cabernet Sauvignon,13229864,6617553,13039126,11355820,10651084,8556337,7426634,3877852,7242258,6004627,0.0,5889427,1857999,0.0,5917172.94
12,ti_ Caladoc,Caladoc,0,0,0,0,2480,3300,4000,2180,8500,4740,0.0,5230,108600,0.0,8310.0
13,ti_Campanario,Campanario,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
14,ti_Canaiolo,Canaiolo,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
15,ti_Carignan,Carignan,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
16,ti_Carmenere,Carmenere,130269,85264,50125,48990,44414,66632,134180,87402,69275,241808,0.0,184268,76625,0.0,14359.8
17,ti_Castelão,Castelão,16240,16230,26790,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
18,ti_Corvina,Corvina,680,100,1110,1200,1382,1406,1397,419,1890,0,0.0,2220,69910,0.0,2200.0
19,ti_Croatina,Croatina,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
20,ti_Cinsaut,Cinsaut,0,0,0,0,0,0,0,0,3430,0,0.0,0,0,0.0,0.0
21,ti_Dom Felder,Dom Felder,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
22,ti_Dolcetto,Dolcetto,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
23,ti_Durif,Durif,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
24,ti_Egiodola,Egiodola,1157679,845205,1544746,992241,1059250,911280,1053654,519874,1567341,1047960,0.0,1067591,6322152,0.0,1439539.8
